bin_centre_km,mean_los_displacement_cm,mean_coherence,mean_los_95ci_low_cm,mean_los_95ci_high_cm,observation_count
-82.5,1.372,0.846,0.495,2.25,4
-77.5,-0.396,0.798,-1.098,0.32,6
-72.5,0.355,0.828,-0.514,1.519,9
-67.5,-0.441,0.831,-0.905,0.026,12
-62.5,0.161,0.821,-0.519,0.829,16
-57.5,-0.484,0.816,-1.162,0.331,14
-52.5,-0.884,0.824,-1.343,-0.482,17
-47.5,-2.065,0.823,-2.623,-1.555,15
-42.5,-4.277,0.798,-4.952,-3.6,16
-37.5,-7.879,0.831,-8.796,-7.001,16
-32.5,-11.737,0.831,-12.932,-10.592,16
-27.5,-16.657,0.822,-17.859,-15.403,15
-22.5,-17.947,0.807,-19.076,-16.819,16
-17.5,-16.831,0.818,-18.366,-15.308,15
-12.5,-7.963,0.78,-9.331,-6.481,17
-7.5,4.661,0.73,2.675,7.069,14
-2.5,18.794,0.647,16.175,21.604,17
2.5,33.847,0.659,30.61,36.812,16
7.5,43.376,0.704,40.48,46.368,15
12.5,47.795,0.779,44.462,51.029,16
17.5,45.371,0.813,42.526,48.545,16
22.5,40.755,0.805,38.092,43.748,15
27.5,30.607,0.801,28.237,32.817,17
32.5,21.97,0.815,19.767,24.175,14
37.5,14.298,0.822,12.776,15.875,17
42.5,8.417,0.816,7.356,9.38,16
47.5,4.331,0.81,3.524,5.119,15
52.5,2.183,0.811,1.682,2.657,14
57.5,1.194,0.817,0.516,1.632,11
62.5,0.747,0.829,-0.01,1.425,7
67.5,0.013,0.824,-0.584,0.522,6
72.5,0.907,0.835,0.757,1.057,2
