longitude,latitude,los_displacement_cm,coherence,distance_to_fault_km
36.05000,36.95000,-0.351,0.814,-58.608
36.11500,36.95000,-0.734,0.845,-52.888
36.18000,36.95000,-1.781,0.768,-47.168
36.24500,36.95000,-3.340,0.811,-41.448
36.31000,36.95000,-7.243,0.824,-35.728
36.37500,36.95000,-10.694,0.861,-30.008
36.44000,36.95000,-13.074,0.823,-24.288
36.50500,36.95000,-13.892,0.779,-18.568
36.57000,36.95000,-6.727,0.831,-12.848
36.63500,36.95000,4.153,0.708,-7.128
36.70000,36.95000,18.027,0.593,-1.408
36.76500,36.95000,28.677,0.688,4.312
36.83000,36.95000,36.568,0.746,10.032
36.89500,36.95000,36.472,0.814,15.752
36.96000,36.95000,32.273,0.779,21.472
37.02500,36.95000,24.620,0.767,27.192
37.09000,36.95000,13.339,0.799,32.912
37.15500,36.95000,8.743,0.851,38.632
37.22000,36.95000,5.953,0.777,44.352
37.28500,36.95000,3.427,0.785,50.072
37.35000,36.95000,0.969,0.810,55.792
37.41500,36.95000,0.531,0.849,61.512
37.48000,36.95000,0.840,0.832,67.232
37.54500,36.95000,0.757,0.837,72.952
36.05000,37.00500,-0.837,0.795,-60.157
36.11500,37.00500,-1.008,0.837,-54.437
36.18000,37.00500,-1.654,0.902,-48.717
36.24500,37.00500,-4.167,0.782,-42.997
36.31000,37.00500,-5.638,0.870,-37.277
36.37500,37.00500,-10.132,0.849,-31.557
36.44000,37.00500,-12.766,0.816,-25.837
36.50500,37.00500,-16.423,0.798,-20.117
36.57000,37.00500,-8.892,0.747,-14.397
36.63500,37.00500,0.821,0.744,-8.677
36.70000,37.00500,14.596,0.680,-2.957
36.76500,37.00500,29.016,0.734,2.763
36.83000,37.00500,37.862,0.711,8.483
36.89500,37.00500,38.820,0.767,14.203
36.96000,37.00500,36.745,0.797,19.923
37.02500,37.00500,28.145,0.846,25.643
37.09000,37.00500,18.913,0.810,31.363
37.15500,37.00500,10.201,0.782,37.083
37.22000,37.00500,6.131,0.835,42.803
37.28500,37.00500,4.642,0.819,48.523
37.35000,37.00500,1.751,0.826,54.243
37.41500,37.00500,1.768,0.851,59.963
37.48000,37.00500,0.502,0.785,65.683
37.54500,37.00500,1.057,0.833,71.403
36.05000,37.06000,1.238,0.819,-61.706
36.11500,37.06000,1.759,0.807,-55.986
36.18000,37.06000,0.607,0.824,-50.266
36.24500,37.06000,-3.409,0.781,-44.546
36.31000,37.06000,-6.086,0.870,-38.826
36.37500,37.06000,-9.379,0.844,-33.106
36.44000,37.06000,-17.235,0.845,-27.386
36.50500,37.06000,-15.781,0.799,-21.666
36.57000,37.06000,-13.519,0.806,-15.946
36.63500,37.06000,-0.915,0.720,-10.226
36.70000,37.06000,11.402,0.721,-4.506
36.76500,37.06000,26.573,0.630,1.214
36.83000,37.06000,38.348,0.665,6.934
36.89500,37.06000,42.881,0.741,12.654
36.96000,37.06000,41.141,0.814,18.374
37.02500,37.06000,35.404,0.829,24.094
37.09000,37.06000,25.240,0.774,29.814
37.15500,37.06000,15.066,0.831,35.534
37.22000,37.06000,10.585,0.761,41.254
37.28500,37.06000,5.493,0.841,46.974
37.35000,37.06000,3.684,0.845,52.694
37.41500,37.06000,0.865,0.802,58.414
37.48000,37.06000,-1.081,0.827,64.134
37.54500,37.06000,-0.117,0.891,69.854
36.05000,37.11500,-0.755,0.831,-63.254
36.11500,37.11500,-2.029,0.806,-57.534
36.18000,37.11500,-0.647,0.849,-51.814
36.24500,37.11500,-0.836,0.818,-46.094
36.31000,37.11500,-6.538,0.836,-40.374
36.37500,37.11500,-9.126,0.837,-34.654
36.44000,37.11500,-15.363,0.860,-28.934
36.50500,37.11500,-17.466,0.844,-23.214
36.57000,37.11500,-14.112,0.833,-17.494
36.63500,37.11500,-6.258,0.850,-11.774
36.70000,37.11500,8.487,0.685,-6.054
36.76500,37.11500,25.035,0.692,-0.334
36.83000,37.11500,38.630,0.703,5.386
36.89500,37.11500,46.647,0.750,11.106
36.96000,37.11500,42.630,0.820,16.826
37.02500,37.11500,38.060,0.798,22.546
37.09000,37.11500,29.169,0.841,28.266
37.15500,37.11500,17.556,0.838,33.986
37.22000,37.11500,10.754,0.768,39.706
37.28500,37.11500,6.249,0.818,45.426
37.35000,37.11500,1.869,0.838,51.146
37.41500,37.11500,1.659,0.800,56.866
37.48000,37.11500,0.858,0.856,62.586
37.54500,37.11500,-0.645,0.833,68.306
36.05000,37.17000,-0.058,0.899,-64.803
36.11500,37.17000,-2.280,0.844,-59.083
36.18000,37.17000,-1.084,0.816,-53.363
36.24500,37.17000,0.058,0.820,-47.643
36.31000,37.17000,-2.196,0.805,-41.923
36.37500,37.17000,-8.559,0.803,-36.203
36.44000,37.17000,-14.975,0.822,-30.483
36.50500,37.17000,-18.577,0.827,-24.763
36.57000,37.17000,-20.137,0.885,-19.043
36.63500,37.17000,-10.501,0.850,-13.323
36.70000,37.17000,2.967,0.729,-7.603
36.76500,37.17000,25.337,0.616,-1.883
36.83000,37.17000,36.081,0.646,3.837
36.89500,37.17000,47.708,0.772,9.557
36.96000,37.17000,49.873,0.794,15.277
37.02500,37.17000,40.942,0.803,20.997
37.09000,37.17000,34.327,0.836,26.717
37.15500,37.17000,20.354,0.819,32.437
37.22000,37.17000,15.198,0.894,38.157
37.28500,37.17000,8.005,0.831,43.877
37.35000,37.17000,2.198,0.790,49.597
37.41500,37.17000,1.585,0.838,55.317
37.48000,37.17000,1.227,0.803,61.037
37.54500,37.17000,-1.065,0.793,66.757
36.05000,37.22500,-1.316,0.843,-66.352
36.11500,37.22500,-2.717,0.808,-60.632
36.18000,37.22500,-0.089,0.873,-54.912
36.24500,37.22500,-1.586,0.855,-49.192
36.31000,37.22500,-4.437,0.794,-43.472
36.37500,37.22500,-8.797,0.873,-37.752
36.44000,37.22500,-12.401,0.837,-32.032
36.50500,37.22500,-14.772,0.819,-26.312
36.57000,37.22500,-18.910,0.828,-20.592
36.63500,37.22500,-14.068,0.881,-14.872
36.70000,37.22500,1.282,0.693,-9.152
36.76500,37.22500,17.500,0.675,-3.432
36.83000,37.22500,36.646,0.602,2.288
36.89500,37.22500,45.445,0.658,8.008
36.96000,37.22500,51.522,0.789,13.728
37.02500,37.22500,47.653,0.789,19.448
37.09000,37.22500,36.429,0.749,25.168
37.15500,37.22500,27.009,0.833,30.888
37.22000,37.22500,17.784,0.848,36.608
37.28500,37.22500,9.101,0.867,42.328
37.35000,37.22500,4.482,0.797,48.048
37.41500,37.22500,1.483,0.800,53.768
37.48000,37.22500,-1.568,0.825,59.488
37.54500,37.22500,0.563,0.807,65.208
36.05000,37.28000,-0.815,0.833,-67.901
36.11500,37.28000,1.762,0.821,-62.181
36.18000,37.28000,-1.004,0.799,-56.461
36.24500,37.28000,-1.405,0.776,-50.741
36.31000,37.28000,-3.482,0.822,-45.021
36.37500,37.28000,-5.042,0.853,-39.301
36.44000,37.28000,-11.332,0.795,-33.581
36.50500,37.28000,-17.318,0.780,-27.861
36.57000,37.28000,-20.358,0.833,-22.141
36.63500,37.28000,-17.706,0.878,-16.421
36.70000,37.28000,-4.252,0.696,-10.701
36.76500,37.28000,13.933,0.665,-4.981
36.83000,37.28000,32.660,0.657,0.739
36.89500,37.28000,47.780,0.630,6.459
36.96000,37.28000,52.384,0.806,12.179
37.02500,37.28000,52.620,0.879,17.899
37.09000,37.28000,44.365,0.747,23.619
37.15500,37.28000,31.745,0.753,29.339
37.22000,37.28000,21.755,0.829,35.059
37.28500,37.28000,10.244,0.890,40.779
37.35000,37.28000,6.608,0.754,46.499
37.41500,37.28000,3.024,0.794,52.219
37.48000,37.28000,1.226,0.804,57.939
37.54500,37.28000,1.913,0.770,63.659
36.05000,37.33500,0.329,0.883,-69.450
36.11500,37.33500,-0.999,0.827,-63.730
36.18000,37.33500,-0.109,0.796,-58.010
36.24500,37.33500,-0.321,0.823,-52.290
36.31000,37.33500,-3.764,0.882,-46.570
36.37500,37.33500,-5.175,0.814,-40.850
36.44000,37.33500,-11.910,0.793,-35.130
36.50500,37.33500,-15.806,0.815,-29.410
36.57000,37.33500,-20.577,0.813,-23.690
36.63500,37.33500,-18.557,0.809,-17.970
36.70000,37.33500,-8.303,0.773,-12.250
36.76500,37.33500,9.180,0.726,-6.530
36.83000,37.33500,28.330,0.611,-0.810
36.89500,37.33500,44.341,0.653,4.910
36.96000,37.33500,53.307,0.792,10.630
37.02500,37.33500,54.092,0.863,16.350
37.09000,37.33500,49.001,0.819,22.070
37.15500,37.33500,33.349,0.807,27.790
37.22000,37.33500,23.320,0.768,33.510
37.28500,37.33500,13.622,0.830,39.230
37.35000,37.33500,6.850,0.793,44.950
37.41500,37.33500,2.638,0.883,50.670
37.48000,37.33500,1.287,0.791,56.390
37.54500,37.33500,0.140,0.853,62.110
36.05000,37.39000,-0.767,0.837,-70.998
36.11500,37.39000,0.739,0.846,-65.278
36.18000,37.39000,1.300,0.801,-59.558
36.24500,37.39000,0.462,0.792,-53.838
36.31000,37.39000,-2.600,0.862,-48.118
36.37500,37.39000,-4.127,0.820,-42.398
36.44000,37.39000,-11.112,0.840,-36.678
36.50500,37.39000,-16.527,0.788,-30.958
36.57000,37.39000,-21.451,0.828,-25.238
36.63500,37.39000,-23.131,0.829,-19.518
36.70000,37.39000,-12.707,0.773,-13.798
36.76500,37.39000,4.223,0.748,-8.078
36.83000,37.39000,22.739,0.626,-2.358
36.89500,37.39000,42.811,0.606,3.362
36.96000,37.39000,53.290,0.719,9.082
37.02500,37.39000,55.959,0.807,14.802
37.09000,37.39000,49.872,0.857,20.522
37.15500,37.39000,39.123,0.809,26.242
37.22000,37.39000,25.475,0.845,31.962
37.28500,37.39000,17.009,0.871,37.682
37.35000,37.39000,8.146,0.821,43.402
37.41500,37.39000,4.302,0.817,49.122
37.48000,37.39000,1.909,0.760,54.842
